my_dash_power,my_dash_dir,my_turn
100.0,6.0,37.0
100.0,4.0,-39.0
100.0,0.0,-49.0
100.0,3.0,49.0
0.0,0.0,-6.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
100.0,0.0,13.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
100.0,0.0,0.0
54.169,0.0,0.0
54.091,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,-0.001
54.125,-2.0,0.0
0.0,0.0,180.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
100.0,0.0,-3.0
0.0,0.0,0.0
0.0,0.0,0.0
100.0,170.0,-0.0
0.0,0.0,106.021
0.0,0.0,0.0
0.0,0.0,0.0
100.0,51.0,85.0
0.0,0.0,0.0
0.0,0.0,8.479
0.0,0.0,-123.943
0.0,0.0,-5.159
0.0,0.0,31.982
100.0,0.0,111.0
0.0,0.0,-0.334
100.0,0.0,0.0
100.0,0.0,0.0
100.0,0.0,0.0
100.0,0.0,0.0
0.0,0.0,150.446
100.0,0.0,16.0
0.0,0.0,-2.337
0.0,0.0,0.269
0.0,0.0,0.111
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.181
0.0,0.0,-1.528
0.0,0.0,-16.017
100.0,-55.0,-2.0
100.0,-21.0,-18.0
100.0,32.0,-3.0
100.0,3.0,-12.0
100.0,-2.0,-30.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
100.0,167.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
100.0,0.0,-75.0
100.0,0.0,0.0
100.0,0.0,81.0
100.0,0.0,-0.0
0.0,0.0,-1.376
0.0,0.0,-180.0
100.0,0.0,0.0
100.0,0.0,0.0
0.0,0.0,-0.003
0.0,0.0,0.864
0.0,0.0,0.0
0.0,0.0,-180.0
0.0,0.0,0.0
0.0,0.0,6.219
0.0,0.0,0.0
100.0,155.0,0.0
0.0,0.0,-8.008
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
